"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-4C" "CT-4C_April26-May19" "RCNX0503.JPG" "deer" 3.04693460459833 12 5 1 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0506.JPG" "deer" 9.02789880798158 12 5 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0506.JPG" "deer" 8.56829646775138 12 5 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0508.JPG" "deer" 3.05411847095535 12 5 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0508.JPG" "deer" 5.31155924352292 12 5 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0508.JPG" "deer" 8.29379960884693 12 5 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0508.JPG" "deer" 9.56694531346459 12 5 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0511.JPG" "deer" 8.3346316058176 12 5 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0511.JPG" "deer" 7.43479784694605 12 5 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0511.JPG" "deer" 8.01608784904161 12 5 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0511.JPG" "deer" 8.56829646775138 12 5 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0514.JPG" "deer" 4.97369746565701 12 5 5 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0528.JPG" "deer" 8.01608784904161 12 5 6 1
"CT-4C" "CT-4C_April26-May19" "RCNX0528.JPG" "deer" 7.32261050504793 12 5 6 1
"CT-4C" "CT-4C_April26-May19" "RCNX0536.JPG" "deer" 9.21024036697596 12 6 1 1
"CT-4C" "CT-4C_April26-May19" "RCNX0539.JPG" "deer" 7.72829573422357 12 6 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0602.JPG" "deer" 7.62061504677039 12 6 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0605.JPG" "deer" 7.79894331419289 12 6 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0611.JPG" "deer" 8.62237369087235 12 6 5 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0614.JPG" "deer" 7.87495923302542 12 6 6 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0617.JPG" "deer" 7.48701361737651 12 6 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0620.JPG" "deer" 3.24132128631977 12 6 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0626.JPG" "deer" 1.04752839078035 12 6 9 0
"CT-4C" "CT-4C_April26-May19" "RCNX0635.JPG" "deer" 7.64124433882539 12 7 1 1
"CT-4C" "CT-4C_April26-May19" "RCNX0638.JPG" "deer" 9.56694531346459 12 7 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0641.JPG" "deer" 8.42166298740837 12 7 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0644.JPG" "deer" 2.01506736420223 12 7 4 1
"CT-4C" "CT-4C_April26-May19" "RCNX0647.JPG" "deer" 7.87495923302542 12 7 5 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0726.JPG" "deer" 2.4587641710827 12 7 6 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0726.JPG" "deer" 3.99583065870263 12 7 6 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0726.JPG" "deer" 8.07862821242504 12 7 6 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0729.JPG" "deer" 8.94784609905824 12 7 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0732.JPG" "deer" 6.48095637193254 12 7 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0761.JPG" "deer" 7.10538588132202 12 8 4 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1035.JPG" "deer" 8.04686951095962 12 8 6 1
"CT-4C" "CT-4C_April26-May19" "RCNX1038.JPG" "deer" 5.59571559740062 12 8 7 1
"CT-4C" "CT-4C_April26-May19" "RCNX1038.JPG" "deer" 8.29379960884693 12 8 7 1
"CT-4C" "CT-4C_April26-May19" "RCNX1041.JPG" "deer" 7.75129525680006 12 8 8 1
"CT-4C" "CT-4C_April26-May19" "RCNX1044.JPG" "deer" 8.14533959292558 12 8 9 1
"CT-4C" "CT-4C_April26-May19" "RCNX1048.JPG" "deer" 4.44159956154669 12 8 10 1
"CT-4C" "CT-4C_April26-May19" "RCNX1051.JPG" "deer" 9.11492018612092 12 8 11 1
"CT-4C" "CT-4C_April26-May19" "RCNX1054.JPG" "deer" 8.62237369087235 12 8 12 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1057.JPG" "deer" 9.9034375512862 12 8 13 1
"CT-4C" "CT-4C_April26-May19" "RCNX1063.JPG" "deer" 7.82364593083506 12 9 1 1
"CT-4C" "CT-4C_April26-May19" "RCNX1075.JPG" "deer" 7.79894331419289 12 9 5 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1084.JPG" "deer" 6.24312542166953 12 9 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1084.JPG" "deer" 6.22267647148439 12 9 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1084.JPG" "deer" 7.8489737427708 12 9 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1084.JPG" "deer" 6.42990980254299 12 9 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1087.JPG" "deer" -0.267544564056313 12 9 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1087.JPG" "deer" 0.326222623055796 12 9 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1087.JPG" "deer" 8.25456889314274 12 9 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1485.JPG" "deer" 1.49956775811177 12 10 3 0
"CT-4C" "CT-4C_April26-May19" "RCNX1535.JPG" "deer" 7.92904646169849 12 11 1 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1551.JPG" "deer" 7.5421034109184 12 11 5 1
"CT-4C" "CT-4C_April26-May19" "RCNX1551.JPG" "deer" 7.00115554415205 12 11 5 1
"CT-4C" "CT-4C_April26-May19" "RCNX1554.JPG" "deer" 7.72829573422357 12 11 6 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1577.JPG" "deer" 8.51699317141368 12 11 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1580.JPG" "deer" 6.96869024062311 12 12 1 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1587.JPG" "deer" 1.78367450443742 12 12 2 0
"CT-4C" "CT-4C_April26-May19" "RCNX1587.JPG" "deer" 5.23094777403788 12 12 2 0
"CT-4C" "CT-4C_April26-May19" "RCNX1590.JPG" "deer" 7.56116161114198 12 12 3 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1618.JPG" "deer" 6.57706056489339 12 13 6 1
"CT-4C" "CT-4C_April26-May19" "RCNX1621.JPG" "deer" 8.37720122258723 12 13 7 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1668.JPG" "deer" -0.504984541697258 12 14 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1701.JPG" "deer" 7.60040233450051 12 14 5 1
"CT-4C" "CT-4C_April26-May19" "RCNX1708.JPG" "deer" 7.98622488254094 12 14 6 1
"CT-4C" "CT-4C_April26-May19" "RCNX1710.JPG" "deer" 5.70446497262517 12 14 7 1
"CT-4C" "CT-4C_April26-May19" "RCNX1713.JPG" "deer" 9.72110599394295 12 14 8 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1716.JPG" "deer" 3.29451027597477 12 14 9 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1716.JPG" "deer" 8.42166298740837 12 14 9 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1721.JPG" "deer" 9.21024036697596 12 15 1 1
"CT-4C" "CT-4C_April26-May19" "RCNX1724.JPG" "deer" 7.95722734221663 12 15 2 NA
"CT-4C" "CT-4C_April26-May19" "RCNX1727.JPG" "deer" 8.46819300519351 12 15 3 1
"CT-4C" "CT-4C_April26-May19" "RCNX1730.JPG" "deer" 9.9034375512862 12 15 4 1
"CT-6C" "CT-6C_April28-May18" "RCNX0446.JPG" "deer" 0.78706136199889 18 4 1 0
"CT-1C" "CT-1C_April28-June13" "RCNX0011.JPG" "deer" 7.75129525680006 3 1 1 NA
"CT-1C" "CT-1C_April28-June13" "RCNX0014.JPG" "deer" 9.9034375512862 3 1 2 1
"CT-1C" "CT-1C_April28-June13" "RCNX0020.JPG" "deer" 9.31561088358338 3 10 1 NA
"CT-1C" "CT-1C_April28-June13" "RCNX0023.JPG" "deer" 9.11492018612092 3 11 1 NA
"CT-1C" "CT-1C_April28-June13" "RCNX0026.JPG" "deer" 7.66230775277561 3 11 2 NA
"CT-1C" "CT-1C_April28-June13" "RCNX0032.JPG" "deer" 7.60040233450051 3 14 1 1
"CT-1C" "CT-1C_April28-June13" "RCNX0035.JPG" "deer" 8.94784609905824 3 14 2 NA
"CT-1C" "CT-1C_April28-June13" "RCNX0038.JPG" "deer" 7.41798072267602 3 14 3 NA
"CT-2B" "CT-2B_May17-June13" "RCNX0119.JPG" "deer" 8.25456889314274 5 1 1 1
"CT-2B" "CT-2B_May17-June13" "RCNX0131.JPG" "deer" 6.56275457960665 5 8 1 1
"CT-2B" "CT-2B_May17-June13" "RCNX0134.JPG" "deer" 8.62237369087235 5 9 1 NA
"CT-2B" "CT-2B_May17-June13" "RCNX0137.JPG" "deer" 9.31561088358338 5 9 2 NA
"CT-2B" "CT-2B_May17-June13" "RCNX0140.JPG" "deer" 8.42166298740837 5 10 1 NA
"CT-2B" "CT-2B_May17-June13" "RCNX0145.JPG" "deer" 7.32261050504793 5 11 2 1
"CT-2B" "CT-2B_May17-June13" "RCNX0149.JPG" "deer" 8.29379960884693 5 11 3 NA
"CT-2B" "CT-2B_May17-June13" "RCNX0161.JPG" "deer" 8.74017672992878 5 15 1 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0503.JPG" "deer" 8.62237369087235 14 1 1 1
"CT-5B" "CT-5B_April28-May30" "RCNX0506.JPG" "deer" 8.51699317141368 14 1 2 1
"CT-5B" "CT-5B_April28-May30" "RCNX0509.JPG" "deer" 9.21024036697596 14 1 3 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0512.JPG" "deer" -0.785898587178638 14 1 4 0
"CT-5B" "CT-5B_April28-May30" "RCNX0512.JPG" "deer" 3.65335487214134 14 1 4 0
"CT-5B" "CT-5B_April28-May30" "RCNX0512.JPG" "deer" 8.67954210646235 14 1 4 0
"CT-5B" "CT-5B_April28-May30" "RCNX0515.JPG" "deer" 7.70581287391963 14 1 5 NA
